repo,stars,forks,pull_requests,pScore,pScore_normalized,popular,s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
twill,69,70,30,1039,0.012560293033208,1,9,11.555555555555555,1,0.3822751322751322,9,0.3055555555555556,6,344,1.061046511627907,60.833333333333336,0.1768410852713178,twill,5,3,0.0712468193384223,0.1904761904761904
twill,69,70,30,1039,0.012560293033208,1,8,7.5,1,0.0,8,0.2857142857142857,1,5,1.0,5.0,1.0,twill,6,1,0.0135135135135135,0.0526315789473684
twill,69,70,30,1039,0.012560293033208,1,11,8.363636363636363,1,0.1151515151515151,11,0.2,1,9,1.0,9.0,1.0,twill,7,1,0.0,0.1052631578947368
twill,69,70,30,1039,0.012560293033208,1,6,2.6666666666666665,2,0.0,3,0.2666666666666666,4,29,1.3448275862068966,9.75,0.3362068965517241,twill,8,3,0.0416666666666666,0.1333333333333333
twill,69,70,30,1039,0.012560293033208,1,9,8.88888888888889,1,0.0,9,0.25,2,149,1.0,74.5,0.5,twill,9,1,0.0053191489361702,0.0769230769230769
twill,69,70,30,1039,0.012560293033208,1,5,3.2,1,0.0,5,0.4,2,48,1.0,24.0,0.5,twill,10,1,0.0558375634517766,0.0769230769230769
twill,69,70,30,1039,0.012560293033208,1,11,9.090909090909092,1,0.1753246753246753,11,0.2363636363636363,2,114,1.2894736842105263,73.5,0.6447368421052632,twill,11,1,0.2461538461538461,0.0588235294117647
twill,69,70,30,1039,0.012560293033208,1,6,6.666666666666667,2,0.0,4,0.2666666666666666,3,152,1.0,50.666666666666664,0.3333333333333333,twill,12,2,0.1638795986622073,0.0588235294117647
twill,69,70,30,1039,0.012560293033208,1,3,5.333333333333333,1,0.0,3,0.6666666666666666,3,19,1.105263157894737,7.0,0.3684210526315789,twill,13,1,0.0809248554913294,0.0
twill,69,70,30,1039,0.012560293033208,1,4,13.0,1,0.8333333333333333,4,0.8333333333333334,4,30,1.1,8.25,0.275,twill,14,1,0.0925925925925925,0.0
twill,69,70,30,1039,0.012560293033208,1,12,5.333333333333333,2,0.0694444444444444,8,0.1818181818181818,2,207,1.0048309178743962,104.0,0.5024154589371981,twill,15,1,0.0912863070539419,0.2352941176470588
twill,69,70,30,1039,0.012560293033208,1,10,8.0,2,0.2666666666666666,5,0.2222222222222222,3,4,1.0,1.3333333333333333,0.3333333333333333,twill,16,2,0.0047169811320754,0.0909090909090909
